Accuracy,Precision,Recall,F1-Score,AUC,Time
0.81,0.794,0.73,0.761,0.886,0.103
0.793,0.768,0.716,0.741,0.871,0.101
0.788,0.743,0.743,0.743,0.788,0.003
0.821,0.809,0.743,0.775,0.872,0.001
0.81,0.786,0.743,0.764,0.875,0.014
0.419,0.415,0.986,0.584,0.778,0.001
0.788,0.757,0.716,0.736,0.866,0.056
